_GENE,Genename,GeneID,log2FoldChange,padj,baseMean
Dnajc5g,Dnajc5g,ENSMUSG00000053856,5.93216919685131,0.000274888094744439,5.89205887303649
Abcc2,Abcc2,ENSMUSG00000025194,5.52414861500883,0.00348990220737606,4.42207506759013
Gm15857,Gm15857,ENSMUSG00000087063,5.19438920905284,0.00694916812472926,3.58687818552382
Fgl1,Fgl1,ENSMUSG00000031594,5.15661239848815,0.00380617738007088,5.77810855235779
Gm5083,Gm5083,ENSMUSG00000089815,5.01237853139228,0.00268819993343549,8.75845841230966
A4gnt,A4gnt,ENSMUSG00000037953,4.92993847881137,0.0234712052667715,2.98565003086784
Ankrd36,Ankrd36,ENSMUSG00000020481,4.90417480569537,0.0274762486765686,2.87702597429617
Gm12354,Gm12354,ENSMUSG00000086071,4.90240644406705,0.0181653042195514,2.86187913077941
Ush2a,Ush2a,ENSMUSG00000026609,4.84427329899506,0.0194390033205101,2.77527250758307
Gpr50,Gpr50,ENSMUSG00000056380,4.8253076650418,0.118295771527257,2.7551171216423
Uox,Uox,ENSMUSG00000028186,4.79088090460564,0.0274220564632148,2.64988865668105
Smc1b,Smc1b,ENSMUSG00000022432,4.46196437047004,0.0388555874372121,3.5766724467935
Mir7-1,Mir7-1,ENSMUSG00000065434,4.26289644535489,0.163814467227066,3.20627781451002
Gm28286,Gm28286,ENSMUSG00000100502,3.75233570833906,0.000365242781278409,9.5039845910437
Atp6ap1l,Atp6ap1l,ENSMUSG00000078958,3.74469930178299,0.0924664533289984,3.81419778350668
Gm45684,Gm45684,ENSMUSG00000110141,3.73923258840437,0.169582336776031,2.22443446613369
Gm30292,Gm30292,ENSMUSG00000104109,3.63818572909068,0.224804961521393,2.13028990637522
Sstr3,Sstr3,ENSMUSG00000044933,3.5166005930196,0.0604260140238832,4.75724869105847
Gdpd4,Gdpd4,ENSMUSG00000035582,3.36569913148856,0.159438178546399,3.01991198295129
Slc30a3,Slc30a3,ENSMUSG00000029151,3.22733608810309,0.120091276644121,4.1746068826963
Fam71e2,Fam71e2,ENSMUSG00000092518,3.15881520632615,0.037384787239234,5.23932168186908
Mycbpap,Mycbpap,ENSMUSG00000039110,3.01326295206043,0.306112349057178,2.34613707589833
AI847159,AI847159,ENSMUSG00000084826,2.97331025782271,0.317922410113899,2.3676967243262
Gm42531,Gm42531,ENSMUSG00000107178,2.9475944350275,0.44944514361171,2.21760082401644
Kcnip4,Kcnip4,ENSMUSG00000029088,2.94253848062581,0.360392669359021,2.24098520549306
